,,,,"QUESTIONS: ABOUT 150 CHARACTERS","ANSWERS: ABOUT 120 CHARACTERS","RESPONSES: ABOUT 290 CHARACTERS",,,,,,
"ID","Fuzzy Statement 01","Fuzzy Statement 02","Fuzzy Statement 03","Question","Correct Answer","Response to Correct Answer","Incorrect Answer 01","Response to Incorrect Answer 01","Incorrect Answer 02","Response to Incorrect Answer 02","Incorrect Answer 03","Response to Incorrect Answer 03"
"IF2","To stop traveling in one direction, you need to apply an unbalanced force in the opposite direction. Newton's 1st Law!","Newton's 1st Law can help us here, because we know that in order to stop heading in one direction, we need to apply an unbalanced force in the opposite direction.","You have to boost in the opposite direction than the one you're heading in if you don't want to keep going in your original direction. Newton's 1st Law is all about this.","Looks like you meant to stop us from going in that direction. How could you have done this?","Newton's 1st Law: We should have boosted a little more in the opposite direction than we were originally heading.","Great job! If we want to stop motion in one direction, we have to apply an unbalanced force in the opposite direction. That's all part of Newton's 1st Law.","We should have boosted a little less in the opposite direction. Then we would have stopped. ","You're on the right track, but I don't think boosting less would have stopped us. ","We must have accidentally launched a Fuzzy. Oops!","Nope, no accidental fuzzy launches here! Think about Newton's 1st Law. What happens when unbalanced forces act on the ship?","Maybe if I hadn't boosted at all, I would have come to a stop.","Not quite. In order to slow down or stop, there needs to be an unbalanced force acting in the opposite direction. That's what Newton's 1st Law is all about."
"IF4","Pay attention to Newton's 3rd Law. For every action there is an equal and opposite reaction. The launch of the Fuzzy needs to be taken into account","We changed direction because you launched that Fuzzy pod! An equal-and-opposite force acted on our ship when we launched it. This is Newton's 3rd Law.","Launching Fuzzies affects the movement of our ship; if we launch a fuzzy in one direction, our ship will move in the opposite direction because of the 3rd Law.","How come we didn't stay on course?","Newton's 3rd Law: We launched the Fuzzy, which caused an equal-and-opposite force to be applied to our ship. ","You're right! Newton's 3rd Law says that if we launch a fuzzy in one direction, our ship will move in the opposite direction. ","Balanced forces were applied to the ship, so there was no change in motion due to Newton's 1st Law.","No, I don't think we had balanced forces here. Balanced forces don't change our velocity (speed and direction).","2nd Law: We applied too big of a boost and it resulted in too much acceleration.","No, try again. What happened during the fuzzy launch? Were there any other forces acting on the ship during the launch?","Some outside force must have acted on the ship. It wasn't because of that Fuzzy pod launching.","I don't think there were any other outside forces here. Think about the forces that acted on the ship during the launch."
"IF6","Launching a Fuzzy changes the ship's motion by applying an equal-and-opposite force on the ship. That's Newton's 3rd Law in action!","The 3rd Law would help here. The motion of the ship will change when the equal-and-opposite force from the Fuzzy launch acts on the ship.","The equal-and-opposite force on the ship caused by launching a Fuzzy sent us off course! Isn't physics interesting? Remember the 3rd Law!","You launched the Fuzzy and went off course! What law explains why?","3rd Law:  Launching Fuzzies in one direction changes our motion in the opposite direction. I remember this now.","You're right! The equal-and-opposite force from the fuzzy launch caused the ship to move off course.","2nd Law: Our ship's acceleration changes when the mass changes. This has got to be the key to what just happened.","The 2nd Law is not what we need here. Think about the forces acting on the ship during the fuzzy launch.","Launching a Fuzzy should have no effect on our movement. Something fishy's going on.","Nope, nothing fishy. Think about the forces acting on the ship during the fuzzy launch. Were there any unbalanced forces that could have changed the ship's motion?","Newton's 1st Law, right here! We continued to stay in motion because no forces acted on us!","That's a great law, but not the one we need here. Think about the unbalanced force that acted on the ship during the fuzzy launch."
"IF7","We should keep in mind that our ship could start moving and go off course when we apply unbalanced forces to it. That's what Newton's 1st Law says.","1st Law: Objects in motion stay in motion unless an unbalanced force acts on them! The ship moved off course because of that boost.","Velocity is speed with a direction. The ship is going to change its velocity if an unbalanced force is applied.","We started moving in the wrong direction! Why?","Thanks to Newton's 1st Law, our ship changes its velocity (speed and direction) if an unbalanced force acts on it. In this case, the thrusters created the unbalanced force.","Great answer! The unbalanced force from the thrusters changed our velocity and we went off course.","According to Newton's 1st Law, we went in the wrong direction because we ran into space debris, which knocked us off course.","I don't think that space debris is responsible for this one. Think about what effect the thrusters have on the ship.","We must have accidentally launched a Fuzzy. Oops!","Nope, no accidental fuzzy launches here! Think about what happens when unbalanced forces act on the ship.","Newton's 3rd Law: Colliding with an obstacle rebounds us on a new path with the same speed.","Good try, but that's not what caused us to move off course. Think about what happens when unbalanced forces from our thrusters act on the ship."
"IF8","Newton's 1st Law of Motion tells us that an object in motion will stay in motion unless an unbalanced force acts on it!","Our velocity (speed and direction) won't change unless an unbalanced force acts on us - Newton's 1st Law!","We have to use the 1st Law to stop our ship. An object in motion tends to stay in motion, after all. No wonder we went off course.","We missed our mark! Why?","Newton's 1st Law! Objects in motion will stay in motion unless an unbalanced force acts on them. In this case, our ship just kept going!","You're right! Our velocity (speed and direction) won't change unless an unbalanced force acts on us. Newton's 1st Law!","For every action there is an equal and opposite reaction! Newton's 3rd Law applies here.","Hmmm... No. The 3rd Law generally applies when one thing launches the other, or when two things collide or push on each other. None of those things happened here.","The ship isn't heavy enough to slow down in space. That's why we kept going.","Good thought, but the only way the ship can slow down is if there is an unbalanced force in the opposite direction that the one its traveling in.","The ship's boosters must be broken, honest!","Nope, the boosters are working just fine. What happens when there is no unbalanced force to slow the ship down?"
"IF9","You know, an equal force in the opposite direction we're heading could slow down, stop, or even reverse our ship. Otherwise, we'll just keep going and going.","Newton's 1st Law says objects don't stop unless unbalanced forces act on them in the opposite direction of the one they're heading in. ","Hey now, remember Newton's 1st Law. We won't stop unless an unbalanced force pushes on the ship in the opposite direction of the one we're heading in!","The ship overshot the planned trajectory! According to the 1st Law, what could've helped us in time?","We should have applied an unbalanced force in the opposite direction of the one we're heading in. ","Right! An unbalanced force could have stopped the ship. That's part of Newton's 1st Law.","Launching a Fuzzy behind us could have stopped us.","Not quite. Launching a fuzzy behind us would have actually caused the ship to speed up! That's not what we want!","If we had balanced forces on either side of the ship, it might have helped us out here.","Well, balanced forces don't cause any changes to the ship's motion. That's part of Newton's 1st law. We need an unbalanced force in the opposite direction to slow it down.","The ship is much too heavy. No wonder we had this problem.","No. Even really big ships can be stopped in space with unbalanced forces. Try again."
"IF10","Listen up! Newton's 1st Law tells us that an unbalanced boost applied to our ship will cause us to change velocity. Velocity is speed with a direction.","Newton's 1st Law says that boosts applied perpendicular to the direction we're moving will send us off on a new trajectory. 'Perpendicular' means sideways to the direction we're traveling.","Don't forget the 1st Law: The ship will alter its trajectory if an unbalanced force (such as from boosting) acts on it. Get it?","Ack! We went off course! How could this happen?","1st Law: A boost was applied and changed the direction of the ship's travel.","Yes! When a boost is applied perpendicular to the ship's motion, it causes the ship to change direction. 'Perpendicular' means sideways to the direction we are moving.","Newton's 1st Law, of course: An unbalanced force in the opposite direction of our motion caused us to stop.","Well, we didn't really stop here. We just went off course after that boost. What happened?","I know this is because of the 2nd Law. We increased our mass so we needed more force to accelerate. ","It's true that the 2nd Law shows that more mass needs more force to accelerate, but our mass didn't change.","We hit something and it sent us on a new path with the same velocity. Newton's 3rd Law!","As part of the third law says: A collision could change our course because of the 'equal and opposite reaction.' But, there was no collision!"
"IF11","You boosted and changed your course, leading to a Newton's 1st Law situation. Make sure to take all forces into account!","We changed direction because of the force from the boost. All unbalanced forces that act on the ship can alter its direction. That's the 1st Law!","Remember that Newton's 1st Law talks about what happens when different forces cause us to move. A perpendicular force made your ship move diagonally.","That's an interesting change of direction you did there - what do you think is going on?","We obviously moved the wrong way because of Newton's 1st Law. Combined forces lead to interesting paths!","Yep! Combined forces can make you travel in diagonal paths.","If I'm correct, applying an unbalanced force in the opposite direction of our motion stops us, according to Newton's 1st Law.","I don't think that's what we need here. You didn't stop--you changed direction. What made you change direction?","Our ship is much too heavy, which is why we keep going off course.","No, the ship's weight doesn't affect its direction. What happened to make the ship start traveling in the wrong direction?","Whoa! We rebounded off a space object, and it sent us flying in a new direction. That's what Newton's 3rd Law deals with.","Nope, not this time. I think you need another one of Newton's Laws."
"IF12","Your direction changed in accordance with Newton's 1st Law. An unbalanced force moved you in the wrong direction.","Don't forget that every time you boost, a new force is applied to the ship. Newton's 1st Law says that unbalanced forces change your velocity. Velocity is speed and direction.","Boosts apply forces to the ship. Think about Newton's 1st Law. It's all about changes to your velocity (speed and direction).","Hey, the ship wasn't supposed to go that way! What happened?","Newton's 1st Law of course. The unbalanced force from the boost changed our velocity.","Yep! An unbalanced force will always change the velocity of the ship. Velocity means speed AND direction.","The last boost I did wasn't very strong. It shouldn't have affected our velocity. The problem must be something else.","Even small unbalanced forces change your velocity. That's what Newton's 1st Law says.","Newton's 2nd Law: A gravitational force acted on the ship and caused it to accelerate off course. ","No, I think the acceleration may have come from that last boost. What happens when you apply a boost perpendicular to the direction of motion? Perpendicular means sideways to the direction you are moving.","3rd Law: The ship hit another space object. That made it go off course in a new direction. Not good!","No, I don't think a space object is responsible for knocking us off course. Think about what happened to the ship's motion when you used that last boost."
